-1 1:-3.4656488549618323 2:0.7175572519083969 3:-0.5648854961832062 4:1.05517578125 5:0.0146484375 6:0.19189453125
-1 1:-5.99236641221374 2:11.702290076335878 3:-0.007633587786259542 4:1.99993896484375 5:-0.24267578125 6:0.146484375
-1 1:-0.8244274809160306 2:0.8396946564885496 3:-0.26717557251908397 4:1.074951171875 5:-0.01953125 6:0.594482421875
-1 1:0.015267175572519083 2:1.7557251908396947 3:-0.6564885496183206 4:1.19873046875 5:0.073486328125 6:0.2275390625
-1 1:-0.13740458015267176 2:-1.9236641221374047 3:-0.2595419847328244 4:1.081298828125 5:-0.00390625 6:0.25634765625
-1 1:-1.9236641221374047 2:1.8854961832061068 3:-0.48091603053435117 4:1.0546875 5:0.01416015625 6:0.223876953125
-1 1:-1.7404580152671756 2:-0.0916030534351145 3:-0.45038167938931295 4:1.03857421875 5:0.00830078125 6:0.224365234375
-1 1:-0.03816793893129771 2:0.03816793893129771 3:-0.6564885496183206 4:1.059814453125 5:-0.0146484375 6:0.249755859375
-1 1:-1.8625954198473282 2:-0.10687022900763359 3:-0.2595419847328244 4:1.056884765625 5:0.001220703125 6:0.222412109375
-1 1:-0.25190839694656486 2:0.1450381679389313 3:-0.6641221374045801 4:1.034912109375 5:-0.00390625 6:0.237060546875
-1 1:-0.2748091603053435 2:-1.9312977099236641 3:-0.11450381679389313 4:1.030029296875 5:-0.012451171875 6:0.214599609375
-1 1:-0.13740458015267176 2:-1.8473282442748091 3:-0.25190839694656486 4:1.0439453125 5:-0.000732421875 6:0.240478515625
-1 1:0.04580152671755725 2:-0.03816793893129771 3:-0.3816793893129771 4:1.05126953125 5:0.006103515625 6:0.232177734375
-1 1:-0.11450381679389313 2:-0.09923664122137404 3:-0.183206106870229 4:1.032470703125 5:0.013916015625 6:0.247802734375
-1 1:-0.030534351145038167 2:-0.03816793893129771 3:-0.29770992366412213 4:1.042236328125 5:-0.004150390625 6:0.233154296875
-1 1:-0.030534351145038167 2:0.05343511450381679 3:-0.5572519083969466 4:1.044921875 5:0.0009765625 6:0.228515625
-1 1:-1.916030534351145 2:-0.04580152671755725 3:-0.46564885496183206 4:1.05908203125 5:0.00341796875 6:0.226806640625
-1 1:-0.0916030534351145 2:-0.022900763358778626 3:-0.29770992366412213 4:1.06201171875 5:0.0009765625 6:0.229248046875
-1 1:-0.25190839694656486 2:0.12213740458015267 3:-0.3435114503816794 4:1.0595703125 5:0.012451171875 6:0.262451171875
-1 1:-0.42748091603053434 2:1.9083969465648856 3:-0.0916030534351145 4:1.04541015625 5:-0.011474609375 6:0.2353515625
-1 1:1.6564885496183206 2:-0.05343511450381679 3:-0.32061068702290074 4:1.045166015625 5:-0.006103515625 6:0.231201171875
-1 1:0.022900763358778626 2:-0.05343511450381679 3:-1.7709923664122138 4:1.033447265625 5:-0.0078125 6:0.219482421875
-1 1:-0.3435114503816794 2:-1.8854961832061068 3:-0.04580152671755725 4:1.0439453125 5:0.004638671875 6:0.230224609375
-1 1:-1.8549618320610688 2:-0.05343511450381679 3:-0.48854961832061067 4:1.046142578125 5:-0.00048828125 6:0.231689453125
-1 1:-0.2900763358778626 2:1.9465648854961832 3:-0.3435114503816794 4:1.050048828125 5:-0.002685546875 6:0.222900390625
-1 1:-0.06870229007633588 2:0.05343511450381679 3:-0.366412213740458 4:1.0439453125 5:-0.003173828125 6:0.223388671875
-1 1:-1.900763358778626 2:-0.007633587786259542 3:-0.1984732824427481 4:1.053466796875 5:-0.00048828125 6:0.240966796875
-1 1:-0.22137404580152673 2:-0.06870229007633588 3:-0.2900763358778626 4:1.048583984375 5:-0.001220703125 6:0.24853515625
-1 1:-0.3053435114503817 2:-0.007633587786259542 3:-0.7022900763358778 4:1.04248046875 5:0.001953125 6:0.23583984375
-1 1:1.5572519083969465 2:-0.06870229007633588 3:-0.5190839694656488 4:1.03271484375 5:-0.001953125 6:0.23095703125
-1 1:-0.007633587786259542 2:-0.015267175572519083 3:-0.07633587786259542 4:1.046875 5:0.0107421875 6:0.241943359375
-1 1:-0.2824427480916031 2:-0.12213740458015267 3:-0.5267175572519084 4:1.04638671875 5:0.000732421875 6:0.22705078125
-1 1:-1.9312977099236641 2:-0.007633587786259542 3:-0.3053435114503817 4:1.04248046875 5:-0.00244140625 6:0.22412109375
-1 1:-0.21374045801526717 2:-0.030534351145038167 3:-0.007633587786259542 4:1.0517578125 5:-0.003662109375 6:0.234130859375
-1 1:-0.24427480916030533 2:0.0 3:-0.05343511450381679 4:1.0615234375 5:-0.013916015625 6:0.223876953125
